,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,age
101,4,4,1,3,0,4,4,3,1,1,4,0,16,17,17,16
102,4,4,1,1,0,5,3,3,1,1,5,4,10,13,14,15
103,3,2,2,2,0,4,3,5,1,1,2,26,7,6,6,15
104,3,4,1,2,0,5,4,4,1,1,1,0,16,18,18,15
105,3,3,1,4,0,4,3,3,1,1,4,10,10,11,11,15
106,2,2,1,4,0,5,1,2,1,1,3,8,7,8,8,15
107,3,3,1,3,0,5,3,3,1,1,5,2,16,18,18,16
108,4,4,4,4,0,1,3,5,3,5,1,6,10,13,13,15
109,4,4,1,3,0,5,4,5,1,1,4,4,14,15,16,16
110,4,4,1,1,0,5,5,3,1,1,4,6,18,19,19,15
111,3,3,1,3,1,4,1,2,1,1,2,0,7,10,10,16
112,2,2,1,2,1,3,1,2,1,1,5,6,10,13,13,16
113,4,2,1,1,0,3,5,2,1,1,3,10,18,19,19,15
114,2,1,1,2,0,5,4,2,1,1,5,8,9,9,9,15
115,4,4,1,2,0,5,4,4,1,2,5,2,15,15,16,16
116,4,4,2,2,0,4,4,3,1,1,2,2,11,13,14,15
117,3,3,2,1,0,5,4,2,1,1,5,0,13,14,13,16
118,1,3,3,2,1,5,2,4,1,4,5,20,9,7,8,17
119,3,4,1,1,0,3,4,3,1,2,4,6,14,13,13,15
120,1,2,1,2,0,3,2,3,1,2,1,2,16,15,15,15
121,2,2,1,4,0,5,5,4,1,2,5,6,16,14,15,15
122,2,4,2,2,0,4,2,2,1,2,5,2,13,13,13,16
123,4,4,1,1,0,3,4,4,1,4,5,18,14,11,13,16
124,2,2,1,2,0,5,4,4,1,1,5,0,8,7,8,16
125,3,4,1,1,0,5,5,5,3,2,5,0,13,13,12,15
126,3,4,1,2,0,5,3,2,1,1,1,0,7,10,11,15
127,0,1,1,2,3,3,4,2,1,1,5,2,7,8,9,19
128,2,2,1,1,2,3,3,3,1,2,4,0,7,4,0,18
129,4,4,1,1,0,3,5,5,2,5,4,8,18,18,18,16
130,3,4,2,3,2,4,2,2,2,2,5,0,12,0,0,15
131,1,1,3,1,0,4,3,3,1,2,4,0,8,0,0,15
132,2,2,1,1,0,3,4,4,1,3,5,12,10,13,12,17
133,3,4,1,1,0,3,2,1,1,4,5,16,12,11,11,16
134,3,4,4,2,0,5,3,3,1,1,5,0,9,0,0,15
135,4,4,1,3,0,4,3,3,1,1,5,0,11,0,0,15
136,3,4,3,2,0,5,4,5,2,4,5,0,10,0,0,17
137,3,3,2,1,2,4,3,2,1,1,5,0,4,0,0,16
138,1,1,1,2,1,4,4,4,1,3,5,0,14,12,12,16
139,4,4,2,1,0,4,3,2,1,1,5,0,16,16,15,15
140,4,3,2,4,0,2,2,2,1,1,3,0,7,9,0,15
141,2,2,2,1,2,2,3,3,2,2,2,8,9,9,9,16
142,4,4,1,3,0,4,2,2,1,1,5,2,9,11,11,15
143,1,1,1,1,0,3,4,4,3,3,1,2,14,14,13,16
144,2,1,1,1,3,5,4,5,1,2,5,0,5,0,0,17
145,1,1,1,2,0,4,4,2,1,2,5,0,8,11,11,15
146,3,2,1,2,3,3,3,2,1,1,3,0,6,7,0,15
147,1,2,1,2,0,4,3,2,1,1,5,2,10,11,11,15
148,4,4,1,1,0,3,3,2,2,1,5,0,7,6,0,16
149,2,1,4,1,3,4,5,5,2,5,5,0,8,9,10,15
150,1,1,1,1,3,2,3,5,2,5,4,0,6,5,0,18
151,2,1,1,1,1,4,4,4,3,5,5,6,12,13,14,16
152,3,3,2,3,2,4,2,1,2,3,3,8,10,10,10,15
153,3,2,1,1,3,4,5,4,1,1,4,0,5,0,0,19
154,4,4,1,1,0,4,2,1,1,1,4,0,11,11,12,17
155,2,3,1,2,0,4,4,4,1,1,1,2,11,8,8,15
156,1,2,1,1,0,2,2,2,3,3,5,8,16,12,13,17
157,1,1,3,1,3,5,2,5,1,5,4,6,9,8,10,18
158,2,2,3,1,0,4,2,2,1,2,3,2,17,15,15,16
159,3,3,1,2,1,4,5,5,4,4,5,4,10,12,12,16
160,2,1,2,1,2,3,3,2,2,2,5,0,7,6,0,17
161,3,2,2,2,2,4,4,4,1,4,3,6,5,9,7,15
162,1,2,2,1,1,4,4,4,2,4,5,0,7,0,0,16
163,1,3,1,1,0,5,3,3,1,4,2,2,10,10,10,17
164,1,1,4,2,3,5,3,5,1,5,5,0,5,8,7,17
165,3,2,2,1,1,4,5,2,1,1,2,16,12,11,12,16
166,2,2,1,2,0,4,3,5,2,4,4,4,10,10,10,16
167,4,2,1,2,0,4,2,3,1,1,3,0,14,15,16,16
168,2,2,1,2,0,5,1,5,1,1,4,0,6,7,0,16
169,4,4,1,2,0,4,4,2,1,1,3,0,14,14,14,16
170,3,4,3,1,2,3,4,5,2,4,2,0,6,5,0,16
171,1,0,2,2,0,4,3,2,1,1,3,2,13,15,16,16
172,4,4,1,2,0,4,4,4,1,3,5,0,13,11,10,17
173,1,3,1,2,3,4,3,5,1,1,3,0,8,7,0,16
174,3,3,2,2,0,4,4,5,1,1,4,4,10,11,9,16
175,4,3,2,2,0,4,4,4,4,4,4,4,10,9,9,17
176,2,2,2,2,0,3,4,4,1,4,5,2,13,13,11,16
177,3,3,1,2,0,4,3,4,1,4,4,4,6,5,6,17
178,4,2,1,1,0,4,3,3,3,4,3,10,10,8,9,16
179,4,3,1,2,0,5,2,3,1,1,2,4,10,10,11,17
180,4,3,1,2,0,3,4,3,2,3,3,10,9,8,8,16
181,3,3,1,2,0,4,2,3,1,2,3,2,12,13,12,16
182,2,4,1,2,0,5,4,2,2,3,5,0,16,17,17,17
183,3,3,1,2,0,5,3,3,2,3,1,56,9,9,8,17
184,3,2,1,2,0,1,2,2,1,2,1,14,12,13,12,16
185,3,3,1,2,0,4,3,4,2,3,4,12,12,12,11,17
186,1,2,1,1,0,3,3,3,1,2,3,2,11,12,11,16
187,2,1,1,2,0,4,2,3,1,2,5,0,15,15,15,16
188,3,3,1,2,0,3,3,3,1,3,3,6,8,7,9,17
189,1,2,1,2,0,3,1,3,1,5,3,4,8,9,10,17
190,2,3,1,2,0,4,3,3,1,1,2,10,11,12,13,16
191,1,1,1,2,0,5,3,3,1,1,3,0,8,8,9,17
192,1,2,2,2,0,4,4,4,4,5,5,12,7,8,8,17
193,3,3,1,1,0,4,3,2,3,4,5,8,8,9,10,16
194,2,3,2,1,0,5,3,3,1,1,3,0,13,14,14,16
195,2,4,1,2,0,4,3,2,1,1,5,0,14,15,15,17
196,4,4,1,1,0,5,2,3,1,2,5,4,17,15,16,17
197,3,3,3,1,0,3,3,4,3,5,3,8,9,9,10,16
198,4,4,2,1,1,4,2,4,2,3,2,24,18,18,18,17
199,4,4,1,2,0,4,5,2,1,2,3,0,9,9,10,16
200,4,3,1,2,0,4,3,5,1,5,2,2,16,16,16,16
201,2,3,1,2,0,4,4,3,1,3,4,6,8,10,10,16
202,1,1,1,2,0,4,4,4,1,3,1,4,9,9,10,17
203,2,2,1,1,0,5,3,2,1,2,3,18,7,6,6,17
204,2,2,2,4,0,5,3,5,1,1,5,6,10,10,11,16
205,3,4,1,3,1,4,4,3,3,4,5,28,10,9,9,17
206,3,1,1,2,3,2,3,3,2,2,4,5,7,7,7,16
207,4,3,1,2,0,1,3,2,1,1,1,10,11,12,13,16
208,1,1,2,1,0,4,3,2,1,4,5,6,9,9,10,16
209,4,3,2,3,0,4,4,2,1,1,4,6,7,7,7,17
210,3,3,1,4,0,4,3,3,1,2,3,10,8,8,8,19
211,4,4,1,2,0,5,3,5,4,5,3,13,12,12,13,17
212,2,2,1,2,0,3,3,4,1,1,4,0,12,13,14,16
213,2,2,1,2,1,4,4,4,2,4,5,15,6,7,8,18
214,4,4,1,1,0,5,2,1,1,2,3,12,8,10,10,17
215,3,2,2,2,0,4,4,4,1,3,1,2,14,15,15,17
216,4,3,1,2,2,3,4,5,2,4,1,22,6,6,4,17
217,3,3,1,2,1,3,2,4,2,4,4,13,6,6,8,18
218,2,3,2,1,0,3,3,3,1,4,3,3,7,7,8,17
219,2,2,1,3,0,4,3,3,1,1,4,4,9,10,10,17
220,2,1,2,2,0,4,2,5,1,2,5,2,6,6,6,17
221,1,1,1,3,1,4,3,4,1,1,5,0,6,5,0,17
222,2,3,1,2,0,2,3,1,1,1,3,2,16,16,17,16
223,2,2,2,2,0,3,3,3,5,5,4,0,12,13,13,18
224,4,4,1,3,0,5,3,2,1,1,5,0,13,13,14,16
225,3,1,1,2,1,5,3,3,1,1,4,16,9,8,7,18
226,3,2,1,2,0,5,3,4,1,3,3,10,16,15,15,17
227,2,3,1,2,0,5,3,3,1,3,3,2,12,11,12,17
228,2,1,4,2,0,4,3,2,4,5,3,14,10,8,9,18
229,2,1,2,3,0,3,2,3,1,2,3,10,12,10,12,17
230,4,3,1,2,0,3,2,3,1,2,3,14,13,13,14,17
231,2,2,2,2,0,4,5,2,1,1,1,4,11,11,11,17
232,4,4,1,2,0,4,5,5,1,3,2,14,11,9,9,17
233,4,4,1,2,0,4,2,4,2,4,1,2,14,13,13,16
234,1,1,2,2,0,3,4,2,1,1,5,18,9,7,6,16
235,3,2,2,3,0,5,3,3,1,3,2,10,11,9,10,16
236,2,2,1,2,0,4,4,2,5,5,4,4,14,13,13,17
237,2,1,1,1,0,4,5,2,1,1,5,20,13,12,12,16
238,2,1,3,2,0,2,1,1,1,1,3,2,13,11,11,17
239,2,2,1,2,1,5,5,4,3,5,2,0,7,7,0,18
240,4,3,2,2,0,2,5,5,1,4,5,14,12,12,12,17
241,4,4,2,2,0,3,3,3,2,3,4,2,10,11,12,17
242,4,3,1,1,0,5,4,5,1,1,3,0,6,0,0,16
243,4,4,1,1,0,5,3,2,1,2,5,0,13,12,12,16
244,2,1,2,3,0,4,4,4,1,1,3,0,7,0,0,18
245,2,1,3,1,0,4,3,3,1,1,4,6,18,18,18,16
246,2,3,2,1,0,5,2,2,1,1,2,4,12,12,13,17
247,3,1,1,1,3,5,4,5,5,5,1,16,6,8,8,22
248,3,3,1,2,1,4,3,3,1,3,5,8,3,5,5,18
249,0,2,1,1,0,4,3,2,2,4,5,0,13,15,15,16
250,3,2,2,1,1,4,4,5,2,4,5,0,6,8,8,18
251,3,3,3,2,0,5,3,3,1,3,2,6,7,10,10,16
252,2,1,1,1,1,3,2,5,2,5,5,4,6,9,8,18
253,2,1,2,1,0,3,3,2,1,3,3,0,8,9,8,16
254,2,1,1,1,0,4,4,2,2,4,5,0,8,12,12,17
255,1,1,2,1,1,4,4,4,1,2,5,2,7,9,8,17
256,4,2,1,4,0,4,2,3,1,1,4,6,14,12,13,17
257,4,3,1,2,0,4,3,1,1,1,1,12,11,11,11,19
258,2,1,1,2,0,5,2,4,1,2,4,8,15,14,14,18
259,2,2,1,4,0,3,4,1,1,1,2,0,10,9,0,17
260,4,3,1,2,0,3,1,2,1,3,2,21,17,18,18,18
261,4,3,1,2,0,4,3,2,1,1,3,2,8,8,8,18
262,3,2,1,3,0,5,3,2,1,1,3,1,13,12,12,18
263,3,3,1,3,0,3,2,3,1,1,4,4,10,9,9,17
264,2,2,1,3,0,4,3,3,1,1,3,0,9,10,0,18
265,3,4,2,2,0,4,2,5,3,4,1,13,17,17,17,18
266,3,1,1,2,0,5,4,4,3,4,5,2,9,9,10,17
267,4,4,2,2,0,4,3,4,2,2,4,8,12,10,11,18
268,4,2,1,2,0,5,4,5,1,3,5,10,10,9,10,18
269,2,1,2,2,0,4,3,5,1,2,3,0,6,0,0,18
270,3,3,1,2,2,4,3,5,3,3,5,15,9,9,9,19
271,2,3,1,4,0,4,5,5,1,3,2,4,15,14,14,18
272,1,1,2,2,0,4,4,3,1,1,3,2,11,11,11,18
273,1,2,1,2,0,3,5,2,2,2,1,2,15,14,14,17
274,2,4,2,2,0,4,3,3,1,1,1,2,10,10,10,17
275,2,2,2,2,0,4,4,4,2,3,5,6,12,12,12,17
276,3,2,2,2,0,4,1,1,1,1,5,75,10,9,9,18
277,4,4,2,1,0,3,2,4,1,4,3,22,9,9,9,18
278,4,4,1,2,1,2,4,4,1,1,4,15,9,8,8,18
279,4,3,2,1,0,4,2,3,1,2,1,8,10,11,10,18
280,4,1,2,1,0,4,5,4,2,4,5,30,8,8,8,17
281,3,2,1,1,1,4,4,4,3,4,3,19,11,9,10,17
282,1,1,2,4,0,5,2,2,1,1,3,1,12,12,12,18
283,1,1,2,2,0,5,4,4,1,1,4,4,8,9,10,18
284,2,2,1,2,0,5,4,5,1,2,5,4,10,9,11,17
285,1,1,1,2,0,4,3,3,1,2,4,2,12,10,11,17
286,2,2,1,3,0,4,3,3,1,2,2,5,18,18,19,18
287,1,1,1,3,0,4,3,3,1,1,3,6,13,12,12,17
288,2,1,1,3,0,4,2,4,1,3,2,6,15,14,14,18
289,4,4,1,2,0,5,4,3,1,1,2,9,15,13,15,18
290,4,2,1,2,0,4,3,2,1,4,5,11,12,11,11,18
291,4,3,1,3,0,4,2,2,1,2,3,0,15,15,15,17
292,2,1,1,2,1,5,4,3,1,1,5,12,12,12,13,18
293,3,1,2,4,0,3,1,2,1,1,3,6,18,18,18,17
294,3,2,2,3,0,5,4,2,1,1,4,8,14,13,14,18
295,3,3,1,1,0,4,4,3,1,3,5,4,14,12,11,17
296,4,4,2,2,0,2,3,4,2,3,2,0,10,9,0,19
297,4,3,2,2,0,4,4,5,1,2,2,10,10,8,8,18
298,4,3,1,4,0,4,3,3,1,1,3,0,14,13,14,18
299,4,4,1,1,0,1,4,2,2,2,1,5,16,15,16,18
300,4,4,1,2,0,4,2,4,1,1,4,14,12,10,11,18
301,4,4,2,1,0,4,1,1,2,2,5,0,11,11,10,17
302,4,2,2,3,0,4,3,3,1,1,3,0,15,12,14,17
303,3,2,1,4,0,5,2,2,1,2,5,0,17,17,18,17
304,3,3,1,2,1,4,4,4,1,1,3,20,15,14,13,19
305,2,4,1,2,1,4,4,3,1,1,3,8,14,12,12,18
306,3,2,1,1,0,5,5,3,1,1,5,0,17,18,18,20
307,4,4,2,1,1,4,3,4,1,1,4,38,8,9,8,19
308,3,3,1,2,1,4,5,3,1,2,5,0,15,12,12,19
309,1,1,1,2,1,4,4,3,1,3,3,18,12,10,10,19
310,1,2,1,2,1,4,2,4,2,2,3,0,9,9,0,19
311,2,1,3,2,0,3,4,1,1,1,2,20,14,12,13,19
312,1,2,1,2,1,4,5,2,2,2,4,3,13,11,11,19
313,3,2,2,2,1,4,2,2,1,2,1,22,13,10,11,19
314,1,1,1,3,2,4,1,2,1,1,3,14,15,13,13,19
315,2,3,1,3,1,4,1,2,1,1,3,40,13,11,11,19
316,2,1,2,2,0,5,3,3,1,2,1,0,8,8,0,18
317,4,3,1,3,0,4,3,4,1,1,5,9,9,10,9,18
318,3,4,1,3,0,4,3,4,2,5,5,0,11,11,10,17
319,4,4,1,2,0,4,4,4,3,3,5,2,11,11,11,18
320,4,3,1,2,0,5,2,2,1,2,5,23,13,13,13,17
321,2,2,1,2,0,4,2,2,1,1,3,12,11,9,9,17
322,2,2,1,3,0,3,3,2,2,2,3,3,11,11,11,17
323,3,1,1,3,0,3,4,3,2,3,5,1,12,14,15,17
324,0,2,2,3,0,3,3,3,2,3,2,0,16,15,15,17
325,4,4,1,3,0,4,3,3,2,2,3,3,9,12,11,18
326,3,3,1,1,0,4,3,5,3,5,5,3,14,15,16,17
327,2,2,4,1,0,4,4,5,5,5,4,8,11,10,10,17
328,4,4,1,3,0,5,4,4,1,3,4,7,10,9,9,17
329,4,4,2,3,0,4,3,3,1,2,4,4,14,14,14,17
330,2,2,1,4,0,4,5,5,2,4,5,2,9,8,8,18
331,2,4,1,3,0,4,4,3,1,1,5,7,12,14,14,17
332,3,3,1,2,0,5,3,4,1,1,4,0,7,0,0,18
333,2,2,1,2,0,4,3,3,1,1,2,0,8,8,0,18
334,2,2,2,4,0,4,4,4,1,1,4,0,10,9,0,18
335,3,4,1,3,0,4,4,5,1,3,5,16,16,15,15,17
336,3,1,1,3,1,5,4,3,1,2,5,12,14,13,13,19
337,3,2,1,2,0,4,3,2,2,3,2,0,7,8,0,17
338,3,3,1,4,0,5,3,3,1,1,1,7,16,15,17,18
339,3,2,1,2,0,4,3,3,2,3,2,4,9,10,10,17
340,2,1,1,3,1,4,3,4,1,3,3,4,11,12,11,19
341,4,4,1,2,1,4,3,3,2,2,2,0,10,10,0,18
342,3,4,1,2,0,4,3,3,1,3,5,11,16,15,15,18
343,2,2,1,2,1,3,3,1,1,2,4,0,9,8,0,17
344,2,3,1,3,0,4,3,3,1,2,3,4,11,10,10,18
345,3,2,1,3,0,5,4,3,2,3,1,7,13,13,14,18
346,4,3,1,3,0,5,3,2,1,2,4,9,16,15,16,18
347,4,3,1,3,0,5,4,5,2,3,5,0,10,10,9,18
348,4,3,1,3,0,4,4,3,1,3,4,0,13,15,15,17
349,3,2,2,1,1,2,5,5,5,5,5,10,11,13,13,18
350,1,1,3,2,3,5,4,4,3,3,2,8,8,7,8,19
351,3,3,2,2,0,4,5,4,2,3,3,2,13,13,13,17
352,1,3,1,1,1,4,3,3,2,3,3,7,8,7,8,18
353,1,1,3,1,1,4,4,4,3,3,5,4,8,8,8,19
354,4,3,2,2,0,4,5,5,1,3,2,4,13,11,11,17
355,3,3,1,2,0,5,3,4,1,1,5,0,10,9,9,18
356,4,4,2,2,0,4,3,3,1,2,5,4,12,13,13,17
357,3,2,2,2,0,1,2,3,1,2,5,2,12,12,11,17
358,1,1,2,1,0,3,3,2,1,2,3,4,10,10,10,18
359,1,1,2,3,0,5,3,2,1,1,4,0,18,16,16,18
360,1,4,3,2,0,4,3,4,1,4,5,0,13,13,13,18
361,1,1,2,2,1,4,4,3,2,3,5,2,13,12,12,18
362,3,3,2,2,0,4,3,2,1,3,3,0,11,11,10,18
363,4,4,1,2,0,2,3,4,1,1,1,0,16,15,15,17
364,1,2,2,2,0,3,2,2,1,2,3,0,12,11,12,17
365,1,3,2,2,0,3,3,4,2,4,3,4,10,10,10,18
366,4,4,2,3,0,4,2,2,2,2,5,0,13,13,13,18
367,1,1,3,1,1,5,2,1,1,2,1,0,7,6,0,17
368,2,3,2,1,0,5,2,3,1,2,4,0,11,10,10,18
369,4,4,3,2,0,3,2,2,4,2,5,10,14,12,11,18
370,3,2,2,2,2,3,2,2,1,1,3,4,7,7,9,19
371,1,2,3,1,0,4,3,3,2,3,3,3,14,12,12,18
372,2,2,1,3,0,3,4,3,1,1,3,8,13,11,11,17
373,1,2,1,1,0,3,5,5,1,3,1,14,6,5,5,17
374,4,4,2,3,0,5,4,4,1,1,1,0,19,18,19,18
375,1,1,4,3,0,4,3,2,1,2,4,2,8,8,10,18
376,4,2,2,3,2,5,4,3,1,1,3,4,15,14,15,20
377,4,4,1,2,0,5,4,3,3,4,2,4,8,9,10,18
378,3,3,1,2,0,4,1,3,1,2,1,0,15,15,15,18
379,3,1,1,2,0,4,5,4,2,3,1,17,10,10,10,17
380,4,4,1,2,0,3,2,4,1,4,2,4,15,14,14,18
381,2,1,2,1,0,4,4,3,1,3,5,5,7,6,7,18
382,2,3,2,2,0,4,4,3,1,1,3,2,11,11,10,17
383,1,1,2,1,1,4,3,2,1,3,5,0,6,5,0,19
384,4,2,2,1,1,5,4,3,4,3,3,14,6,5,5,18
385,2,2,2,3,0,5,3,3,1,3,4,2,10,9,10,18
386,4,4,3,1,0,4,4,3,2,2,5,7,6,5,6,18
387,2,3,1,3,1,5,4,2,1,2,5,0,7,5,0,19
388,3,1,1,2,0,4,3,4,1,1,1,0,7,9,8,18
389,1,1,2,2,1,1,1,1,1,1,5,0,6,5,0,18
390,2,2,1,2,2,5,5,4,4,5,4,11,9,9,9,20
391,3,1,2,1,0,2,4,5,3,4,2,3,14,16,16,17
392,1,1,1,1,3,5,5,3,3,3,3,3,10,8,7,21
393,3,2,3,1,0,4,4,1,3,4,5,0,11,12,10,18
394,1,1,1,1,0,3,2,3,3,3,5,5,8,9,9,19
