,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,age
45,4,3,1,2,0,5,2,2,1,1,5,4,10,11,11,15
46,3,3,1,2,0,2,3,5,1,4,3,6,13,12,13,16
47,4,3,1,4,0,4,2,2,1,1,2,2,17,17,17,16
48,4,2,1,2,0,4,3,3,2,2,5,4,11,12,13,15
49,4,4,1,2,0,4,4,4,1,1,3,2,13,12,12,15
50,2,2,3,2,0,4,3,3,2,3,4,0,14,13,13,16
51,4,2,1,2,0,4,3,3,1,1,5,0,16,14,16,15
52,4,2,2,1,0,5,5,5,3,4,5,4,10,9,9,15
53,4,4,1,1,0,3,3,4,2,3,5,0,13,12,12,15
54,3,3,1,1,0,5,3,4,4,4,1,0,13,12,13,15
55,2,1,1,2,0,5,3,4,1,1,2,2,12,13,12,16
56,4,3,1,2,0,4,3,2,1,1,1,0,15,14,15,15
57,4,4,1,2,0,3,2,2,1,1,5,8,15,15,16,15
58,1,2,1,2,0,4,3,2,1,1,5,0,14,13,14,15
59,4,2,1,2,0,4,2,3,1,1,5,2,16,15,16,16
60,4,4,1,2,0,2,4,4,2,3,4,0,17,16,16,16
61,1,1,4,1,0,5,5,5,5,5,5,0,10,10,16,16
62,1,2,1,2,0,4,4,3,1,1,1,0,13,13,10,16
63,4,3,1,3,0,3,4,4,2,4,4,0,14,13,13,16
64,4,3,1,2,0,4,4,4,2,4,2,0,13,12,12,15
65,4,3,3,2,0,5,4,3,1,2,1,2,16,15,16,16
66,4,4,1,4,0,1,3,3,5,5,3,0,11,12,12,15
67,3,1,1,4,0,4,3,3,1,2,5,0,10,9,10,16
68,2,2,2,2,0,4,1,3,1,3,4,0,11,10,11,15
69,3,1,2,4,0,4,4,2,2,3,3,6,15,15,15,15
70,3,1,2,4,0,4,3,2,1,1,5,2,13,11,11,16
71,4,2,1,4,0,3,3,3,1,1,3,0,11,9,10,15
72,1,1,1,2,0,3,3,4,2,4,5,2,13,11,11,15
73,3,1,1,1,0,5,3,2,2,2,5,0,13,13,14,16
74,3,3,1,2,0,4,3,3,2,4,5,4,11,11,11,16
75,4,3,1,2,0,4,3,3,2,3,5,0,11,11,11,15
76,4,0,2,4,0,3,4,3,1,1,1,0,12,11,11,15
77,2,2,1,4,0,5,2,3,1,3,3,1,13,13,13,16
78,2,1,2,1,3,4,5,1,1,1,3,0,9,9,10,17
79,3,4,1,2,0,2,4,3,1,2,3,14,12,11,11,16
80,2,3,1,1,0,3,2,2,1,3,3,0,11,11,12,15
81,2,3,1,3,0,5,3,2,1,2,5,2,10,9,9,15
82,3,2,1,2,0,4,4,4,1,1,5,4,12,11,11,15
83,2,2,2,2,0,5,3,3,1,3,4,2,13,12,13,15
84,1,1,1,2,0,4,3,2,2,3,4,2,13,12,12,15
85,4,4,2,2,0,4,4,4,2,3,5,4,12,11,12,15
86,2,2,1,2,0,4,3,4,1,2,2,6,13,11,11,16
87,4,2,1,3,0,5,3,3,1,3,1,4,15,15,15,15
88,2,2,2,2,0,4,4,2,1,1,3,6,12,10,11,16
89,4,4,1,2,0,4,1,3,3,5,5,6,9,9,10,16
90,3,3,1,3,0,4,3,3,1,3,4,2,9,11,11,16
91,4,3,1,1,0,4,5,5,1,3,1,6,14,13,13,15
92,3,1,1,2,0,3,3,3,2,3,2,0,12,13,12,16
93,4,2,2,2,0,5,3,3,1,1,1,2,13,14,14,16
94,2,2,1,4,0,4,3,4,1,1,4,2,11,12,12,15
95,1,1,2,4,0,3,1,2,1,1,1,4,13,13,13,15
96,4,3,2,1,0,3,3,3,1,1,4,6,9,11,11,16
97,2,1,1,2,0,4,3,5,1,1,5,0,13,12,12,16
98,4,4,1,1,0,5,3,4,1,2,1,4,12,13,13,16
99,4,3,1,3,0,5,3,5,1,1,3,2,12,13,13,16
100,4,4,1,1,0,4,5,5,5,5,4,12,9,9,8,16
101,4,4,1,3,0,4,4,3,1,1,4,0,16,16,16,16
102,4,4,1,1,0,5,3,3,1,1,5,2,12,13,12,15
103,3,2,2,2,0,4,3,5,1,1,2,16,11,10,10,15
104,3,4,1,2,0,5,4,4,1,1,1,0,16,16,16,15
105,3,3,1,4,0,4,3,3,1,1,4,10,10,10,10,15
106,2,2,1,4,0,5,1,2,1,1,3,4,10,10,10,15
107,3,3,1,3,0,5,3,3,1,1,5,4,13,14,14,16
108,4,4,4,4,0,1,3,5,3,5,1,8,12,10,11,15
109,4,4,1,3,0,5,4,5,1,1,4,2,15,15,14,16
110,4,4,1,1,0,5,5,3,1,1,4,4,13,14,14,15
111,3,3,1,3,0,4,1,2,1,1,2,4,11,11,11,16
112,2,2,1,2,1,3,1,2,1,1,5,12,8,10,10,16
113,4,2,1,1,0,3,5,2,1,1,3,10,18,17,18,15
114,2,1,1,2,0,5,4,2,1,1,5,4,10,9,10,15
115,4,4,1,2,0,5,4,4,1,2,5,6,16,14,14,16
116,4,4,2,2,0,4,4,3,1,1,2,4,16,15,16,15
117,3,3,2,1,0,5,4,2,1,1,5,6,14,14,15,16
118,1,3,3,2,1,5,2,4,1,4,5,14,12,11,11,17
119,3,4,1,1,0,3,4,3,1,2,4,2,14,13,14,15
120,1,2,1,2,0,3,2,3,1,2,1,0,14,14,14,15
121,2,2,1,4,0,5,5,4,1,2,5,6,14,13,13,15
122,2,4,2,2,0,4,2,2,1,2,5,2,14,12,13,16
123,4,4,1,1,0,3,4,4,1,4,5,4,12,13,13,16
124,2,2,1,2,0,5,4,4,1,1,5,0,12,11,11,16
125,3,4,1,1,0,5,5,5,3,2,5,2,9,9,9,15
126,3,4,1,2,0,5,3,2,1,1,1,0,10,11,11,15
127,0,1,1,2,2,3,4,2,1,1,5,0,9,10,11,19
128,4,4,1,1,0,3,5,5,2,5,4,8,14,14,15,16
129,2,3,2,3,0,3,2,3,2,2,1,4,13,12,13,16
130,3,4,2,3,0,4,2,2,2,2,5,0,10,11,12,15
131,2,1,1,2,3,5,4,5,1,3,5,10,10,9,8,18
132,2,1,3,1,0,3,2,2,1,2,5,8,11,10,11,17
133,1,1,3,1,0,4,3,3,1,2,4,6,11,12,13,15
134,2,2,1,1,0,3,4,4,1,3,5,2,13,12,12,17
135,3,4,1,1,0,3,2,1,1,4,5,12,15,13,14,16
136,2,1,4,1,0,3,2,1,1,1,2,4,9,9,11,16
137,2,2,1,1,1,5,3,4,1,1,5,12,13,11,11,16
138,3,4,4,2,0,5,3,3,1,1,5,2,12,11,11,15
139,4,4,1,3,0,4,3,3,1,1,5,4,13,14,15,15
140,3,4,3,2,0,5,4,5,2,4,5,2,10,9,10,17
141,1,1,4,2,0,5,1,3,1,1,3,0,14,13,13,16
142,3,1,2,1,0,3,3,4,4,5,4,2,11,11,12,18
143,3,2,1,3,0,4,3,3,5,1,5,10,12,11,11,18
144,1,1,2,1,0,3,3,3,1,2,1,8,12,11,11,16
145,3,3,2,1,0,4,3,2,1,1,5,4,9,9,10,16
146,1,1,1,2,2,4,4,4,1,3,5,0,10,10,10,16
147,4,4,2,1,0,4,3,2,1,1,5,6,13,14,14,15
148,1,1,3,1,1,5,5,5,1,1,1,2,8,9,9,15
149,4,3,2,4,0,2,2,2,1,1,3,6,9,11,11,15
150,3,3,1,2,0,1,3,2,2,3,1,24,9,8,9,15
151,4,4,1,3,0,5,3,3,1,3,5,0,15,13,13,16
152,2,2,2,1,0,2,3,3,2,2,2,4,12,11,11,16
153,4,4,1,3,0,4,2,2,1,1,5,2,13,13,13,15
154,1,1,1,1,0,3,4,4,3,3,1,4,10,11,11,16
155,2,1,1,1,0,5,4,5,1,2,5,22,9,7,6,17
156,1,1,1,2,0,4,4,2,1,2,5,0,12,12,12,15
157,2,1,2,1,0,4,4,2,1,1,5,0,11,10,10,15
158,3,2,1,2,1,3,3,2,1,1,3,2,11,11,11,15
159,1,2,1,2,0,4,3,2,1,1,5,6,13,12,13,15
160,1,2,1,2,0,2,3,4,2,4,1,6,11,11,11,15
161,4,4,1,1,0,3,3,2,2,1,5,16,9,9,8,16
162,2,1,4,1,0,4,5,5,2,5,5,0,12,11,11,15
163,1,1,1,1,2,2,3,5,2,5,4,0,11,9,0,18
164,2,1,1,1,1,4,4,4,3,5,5,6,9,10,10,16
165,3,3,2,3,0,4,2,1,2,3,3,2,13,13,13,15
166,3,2,1,1,0,4,5,4,1,1,4,6,11,9,11,19
167,4,4,1,1,0,4,2,1,1,1,4,0,13,13,13,17
168,2,3,1,2,0,4,4,4,1,1,1,0,7,8,8,15
169,1,2,1,1,3,2,2,2,3,3,5,14,9,8,10,17
170,1,1,3,1,3,5,2,5,1,5,4,6,11,10,11,18
171,2,2,3,1,0,4,2,2,1,2,3,4,12,10,11,16
172,3,3,1,2,1,4,5,5,4,4,5,0,10,10,1,16
173,1,2,2,1,2,4,4,5,3,5,5,0,9,8,10,16
174,2,1,2,1,1,3,3,2,2,2,5,8,8,8,9,17
175,3,2,2,2,2,4,4,4,1,4,3,4,7,6,8,17
176,1,2,2,1,0,4,4,4,2,4,5,2,8,9,10,15
177,1,3,1,1,1,5,3,3,1,4,2,2,9,8,8,16
178,1,1,4,2,0,5,3,5,1,5,5,0,8,8,8,17
179,3,2,2,1,3,4,5,2,1,1,2,10,8,7,8,17
180,2,2,1,2,0,4,3,5,2,4,4,0,9,10,11,16
181,4,2,1,2,0,4,2,3,1,1,3,0,17,17,18,16
182,2,2,1,2,0,5,1,5,1,1,4,0,12,12,13,16
183,4,4,1,2,0,4,4,2,1,1,3,0,16,16,17,16
184,3,4,3,1,1,3,4,5,2,4,2,4,9,9,10,16
185,1,0,2,2,0,4,3,2,1,1,3,0,16,17,18,16
186,4,4,1,2,0,4,4,4,1,3,5,0,11,9,10,17
187,1,3,1,2,0,4,3,5,1,1,3,0,14,13,13,16
188,3,3,2,2,0,4,4,5,1,1,4,0,14,14,15,16
189,4,3,2,2,0,4,4,4,4,4,4,0,10,11,11,17
190,2,2,2,2,0,3,4,4,1,4,5,0,13,12,14,16
191,3,3,1,2,0,4,3,4,1,4,4,4,11,9,10,17
192,4,2,1,1,0,4,3,3,3,4,3,8,10,9,11,16
193,4,3,1,2,0,5,2,3,1,1,2,4,11,11,13,17
194,4,3,1,2,0,3,4,3,2,3,3,4,11,10,11,16
195,3,3,1,2,0,4,2,3,1,2,3,0,11,12,13,16
196,2,4,1,2,0,5,4,2,2,3,5,0,17,18,17,17
197,3,3,1,2,0,5,3,3,2,3,1,32,14,13,14,17
198,3,2,1,2,0,1,2,2,1,2,1,8,14,15,16,16
199,3,3,1,2,0,4,3,4,2,3,4,6,11,13,14,17
200,1,2,1,1,0,3,3,3,1,2,3,0,10,9,11,16
201,2,1,1,2,0,4,2,3,1,2,5,0,13,14,16,16
202,3,3,1,2,0,3,3,3,1,3,3,10,12,13,14,17
203,1,2,1,2,0,3,1,3,1,5,3,6,9,9,10,17
204,2,3,1,2,0,4,3,3,1,1,2,6,12,12,13,16
205,1,1,1,2,0,5,3,3,1,1,3,0,12,11,12,17
206,1,2,2,2,0,4,4,4,4,5,5,16,10,11,12,17
207,3,3,1,1,0,4,3,2,3,4,5,0,11,10,10,16
208,2,3,2,1,0,5,3,3,1,1,3,0,13,12,12,16
209,2,4,1,2,0,4,3,2,1,1,5,8,14,15,16,17
210,4,4,1,1,0,5,2,3,1,2,5,4,13,13,14,17
211,3,3,3,1,0,3,3,4,3,5,3,16,10,11,12,16
212,4,4,2,1,1,4,2,4,2,3,2,30,14,15,16,17
213,4,4,1,2,0,4,5,2,1,2,3,0,11,10,11,16
214,4,3,1,2,0,4,3,5,1,5,2,2,14,14,15,16
215,2,3,1,2,0,4,4,3,1,3,4,4,11,12,12,16
216,1,1,1,2,0,4,4,4,1,3,1,0,14,15,15,17
217,2,2,1,1,0,5,3,2,1,2,3,21,13,13,13,17
218,2,2,2,4,0,5,3,5,1,1,5,6,13,13,13,16
219,3,4,1,3,1,4,4,3,3,4,5,14,8,9,8,17
220,3,1,1,2,0,2,3,3,2,2,4,2,11,11,12,16
221,4,3,1,2,0,1,3,2,1,1,1,4,14,15,15,16
222,1,1,2,1,0,4,3,2,1,4,5,2,12,13,13,16
223,4,3,2,3,0,4,4,2,1,1,4,0,11,12,12,17
224,3,3,1,4,0,4,3,3,1,2,3,4,12,12,12,19
225,4,4,1,2,0,5,3,5,4,5,3,15,13,12,12,17
226,2,2,1,2,0,3,3,4,1,1,4,0,13,13,13,16
227,2,2,1,2,0,4,4,4,2,4,5,10,12,11,11,18
228,4,4,1,1,0,5,2,1,1,2,3,6,12,11,11,17
229,3,2,2,2,0,4,4,4,1,3,1,2,14,16,15,17
230,4,3,1,2,0,3,4,5,2,4,1,16,11,9,10,17
231,3,3,1,2,0,3,2,4,2,4,4,10,10,10,10,18
232,2,3,2,1,0,3,3,3,1,4,3,4,12,13,13,17
233,2,2,1,3,0,4,3,3,1,1,4,0,12,12,13,17
234,2,1,2,2,0,4,2,5,1,2,5,0,11,10,11,17
235,1,1,1,3,0,4,3,4,1,1,5,12,12,12,12,17
236,2,3,1,2,0,2,3,1,1,1,3,0,13,13,14,16
237,2,2,2,2,3,3,3,3,5,5,4,9,10,9,10,18
238,4,4,1,3,0,5,3,2,1,1,5,4,15,16,16,16
239,3,1,1,2,0,5,3,3,1,1,4,4,8,8,8,18
240,3,2,1,2,0,5,3,4,1,3,3,2,17,18,17,17
241,2,3,1,2,0,5,3,3,1,3,3,0,10,11,11,17
242,2,1,4,2,0,4,3,2,4,5,3,2,9,10,11,18
243,2,1,2,3,0,3,2,3,1,2,3,0,15,15,16,17
244,4,3,1,2,0,3,2,3,1,2,3,0,14,12,12,17
245,2,2,2,2,0,4,5,2,1,1,1,0,12,13,13,17
246,4,4,1,2,0,4,5,5,1,3,2,0,13,13,13,17
247,4,4,1,2,0,4,2,4,2,4,1,0,13,13,14,16
248,1,1,2,2,0,3,4,2,1,1,5,2,9,9,9,16
249,3,2,2,3,0,5,3,3,1,3,2,0,12,12,12,16
250,2,2,1,2,0,4,4,2,5,5,4,0,16,16,16,17
251,2,1,1,1,0,4,5,2,1,1,5,4,9,10,10,16
252,4,1,1,2,0,5,3,3,1,2,5,0,14,13,13,16
253,2,4,2,2,1,4,3,3,1,1,3,18,10,10,10,18
254,2,2,1,2,1,5,3,1,1,1,5,16,9,8,10,18
255,3,3,2,1,1,4,1,1,1,1,3,14,8,7,7,18
256,2,2,1,1,1,4,4,3,2,2,1,26,7,8,8,18
257,4,4,1,1,0,4,2,1,1,2,5,6,10,8,9,17
258,3,2,1,2,0,5,4,2,1,1,3,4,14,14,15,17
259,1,1,1,3,0,4,3,2,1,2,4,10,11,10,10,17
260,1,2,1,1,0,5,3,5,1,2,5,4,12,11,11,16
261,2,1,3,2,0,2,1,1,1,1,3,2,13,13,13,17
262,1,4,4,1,1,5,5,4,1,1,5,14,9,9,8,17
263,2,2,1,2,0,5,5,4,3,5,2,16,8,7,8,18
264,2,2,1,1,1,3,1,2,1,1,1,8,11,9,10,17
265,1,1,2,3,0,4,3,3,1,3,5,4,15,14,15,17
266,4,2,1,2,0,4,3,2,1,1,4,4,15,14,14,17
267,4,3,2,2,0,2,5,5,1,4,5,8,15,15,15,17
268,4,4,2,2,0,3,3,3,2,3,4,0,12,12,12,17
269,4,3,1,1,0,5,4,5,1,1,3,7,14,14,15,16
270,4,4,1,1,0,5,3,2,1,2,5,4,14,15,15,16
271,4,4,1,2,0,5,3,1,1,4,5,2,11,11,12,17
272,1,1,2,3,0,4,3,3,1,1,1,2,13,14,15,17
273,3,3,2,3,0,4,2,2,2,3,5,10,11,11,11,17
274,1,1,1,2,0,4,3,2,1,1,4,10,10,9,10,17
275,2,1,2,3,0,4,4,4,1,1,3,10,12,10,11,18
276,2,1,3,1,0,4,3,3,1,1,4,7,15,16,16,16
277,1,1,1,2,0,4,3,4,1,2,5,4,11,10,11,17
278,2,3,2,1,0,5,2,2,1,1,2,2,9,12,13,17
279,3,1,1,1,3,5,4,5,5,5,1,12,7,8,5,22
280,3,3,1,2,0,4,3,3,1,3,5,8,10,9,10,18
281,0,2,1,1,0,4,3,2,2,4,5,0,11,12,11,16
282,3,2,2,1,0,4,4,5,2,4,5,8,7,8,7,18
283,3,3,3,2,1,5,3,3,1,3,2,4,9,11,10,16
284,2,1,1,1,2,3,2,5,2,5,5,4,7,8,6,18
285,2,1,2,1,0,3,3,2,1,3,3,2,14,13,12,16
286,2,1,1,1,0,4,4,2,2,4,5,0,12,12,13,17
287,1,1,2,1,1,4,4,4,1,2,5,0,9,10,10,17
288,2,1,1,2,0,4,3,4,1,3,5,2,12,12,13,18
289,4,2,1,4,0,4,2,3,1,1,4,2,14,15,17,17
290,2,2,1,2,0,4,3,3,1,1,5,0,10,10,11,19
291,2,1,3,2,1,4,4,5,4,4,5,4,11,10,11,18
292,4,2,1,3,0,4,3,4,1,3,5,2,11,12,14,17
293,1,1,1,3,0,4,4,3,2,3,3,4,11,12,14,18
294,2,2,1,2,0,3,2,3,1,1,5,4,11,11,13,18
295,4,3,1,2,0,4,3,1,1,1,1,4,11,13,14,19
296,2,1,1,2,0,5,2,4,1,2,4,2,16,16,16,18
297,2,2,2,1,0,5,2,2,1,1,4,0,9,10,10,17
298,2,2,1,4,0,3,4,1,1,1,2,2,10,11,12,17
299,2,1,2,2,0,1,2,3,1,2,2,8,10,12,12,20
300,4,3,1,2,0,3,1,2,1,3,2,2,15,15,15,18
301,4,3,1,2,0,4,3,2,1,1,3,2,10,10,11,18
302,3,2,1,3,0,5,3,2,1,1,3,2,10,11,12,18
303,3,3,1,3,0,3,2,3,1,1,4,2,15,12,13,17
304,2,2,1,3,0,4,3,3,1,1,3,0,11,12,13,18
305,2,2,2,1,0,4,4,4,2,3,4,8,8,8,9,17
306,3,4,2,2,0,4,2,5,3,4,1,6,15,16,16,18
307,3,1,1,2,0,5,4,4,3,4,5,0,11,11,14,17
308,4,4,2,2,0,4,3,4,2,2,4,8,10,11,12,18
309,4,2,1,2,0,5,4,5,1,3,5,4,10,12,14,18
310,2,1,2,2,0,4,3,5,1,2,3,12,8,9,10,18
311,3,3,1,2,0,4,3,5,3,3,5,16,11,12,12,19
312,2,3,1,4,0,4,5,5,1,3,2,10,16,16,16,18
313,1,1,2,2,0,4,4,3,1,1,3,2,13,13,13,18
314,1,2,1,2,0,3,5,2,2,2,1,2,16,17,18,17
315,2,1,1,2,0,4,2,5,1,2,1,8,14,14,15,18
316,2,4,2,2,0,4,3,3,1,1,1,6,15,16,16,17
317,2,2,2,2,0,4,4,4,2,3,5,6,12,12,12,17
318,3,2,2,2,0,4,1,1,1,1,5,15,12,9,10,18
319,4,4,2,1,0,3,2,4,1,4,3,6,11,12,12,18
320,4,4,1,2,1,2,4,4,1,1,4,2,14,12,13,18
321,2,2,3,3,0,4,2,3,1,1,1,8,13,15,15,17
322,3,2,1,2,1,3,3,3,4,3,3,0,9,8,10,19
323,4,3,2,1,0,4,2,3,1,2,1,0,10,10,10,18
324,1,2,2,1,0,3,4,4,2,4,4,10,10,10,11,18
325,4,1,2,1,0,4,5,4,2,4,5,22,11,11,10,17
326,3,2,1,1,0,4,4,4,3,4,3,18,13,13,13,17
327,1,1,2,4,0,5,2,2,1,1,3,2,17,17,18,18
328,1,1,2,2,0,5,4,4,1,1,4,0,12,13,13,18
329,2,2,1,2,0,5,4,5,1,2,5,12,12,12,14,17
330,2,1,2,2,0,4,3,1,1,1,5,10,12,13,14,18
331,1,1,1,2,0,4,3,3,1,2,4,0,12,12,12,17
332,2,2,1,3,0,4,3,3,1,2,2,0,18,18,18,18
333,1,1,1,3,0,4,3,3,1,1,3,0,13,13,14,17
334,2,1,1,3,0,4,2,4,1,3,2,0,14,15,15,18
335,4,4,1,2,0,5,4,3,1,1,2,0,17,17,17,18
336,4,2,1,2,0,4,3,2,1,4,5,2,15,16,16,18
337,4,3,1,3,0,4,2,2,1,2,3,0,17,18,18,17
338,3,1,2,4,0,3,1,2,1,1,3,0,18,19,19,17
339,3,2,2,3,0,5,4,2,1,1,4,0,14,15,15,18
340,3,3,1,1,0,4,4,3,1,3,5,0,14,15,15,17
341,4,4,2,2,0,2,3,4,2,3,2,2,14,13,13,19
342,4,3,2,2,0,4,4,5,1,2,2,0,13,14,14,18
343,4,3,1,4,0,4,3,3,1,1,3,0,16,17,17,18
344,4,4,1,1,0,1,4,2,2,2,1,0,18,18,17,18
345,4,4,1,2,0,4,2,4,1,1,4,0,14,15,15,18
346,4,4,2,1,0,4,1,1,2,2,5,0,12,13,13,17
347,4,4,2,3,0,5,3,4,1,1,5,0,7,7,8,17
348,4,2,2,3,0,4,3,3,1,1,3,0,16,16,16,17
349,3,2,1,4,0,5,2,2,1,2,5,0,18,18,18,17
350,2,1,2,3,1,4,3,1,1,1,5,0,9,10,11,19
351,3,2,1,1,2,5,5,3,1,1,5,0,14,15,15,20
352,3,3,1,2,0,4,5,3,1,2,5,0,10,10,11,19
353,1,4,1,2,0,3,4,4,1,2,5,2,10,10,11,18
354,2,1,2,2,0,5,3,3,1,2,1,2,12,12,15,18
355,2,3,2,2,0,4,2,1,1,1,3,2,11,12,14,17
356,4,4,1,1,0,4,4,4,1,1,5,2,15,16,17,17
357,4,3,1,3,0,4,3,4,1,1,5,2,14,15,17,18
358,4,3,2,1,0,3,2,4,1,4,1,8,12,12,15,18
359,3,4,1,3,0,4,3,4,2,5,5,2,15,15,17,17
360,3,3,1,2,0,4,1,4,1,1,3,8,11,12,14,18
361,4,2,2,2,0,5,4,4,1,1,1,9,11,10,10,19
362,4,4,1,2,0,4,4,4,3,3,5,0,12,11,13,18
363,3,4,1,1,0,5,4,4,1,1,1,4,11,12,14,18
364,4,4,1,1,0,5,3,4,1,2,5,2,14,15,17,17
365,4,3,1,2,0,5,2,2,1,2,5,14,15,14,17,17
366,3,3,1,2,0,5,3,3,1,1,5,0,12,12,13,17
367,2,1,1,2,0,4,2,3,2,2,2,2,11,12,14,17
368,4,4,1,1,0,4,2,5,3,4,5,2,8,9,11,18
369,1,1,3,3,0,1,5,5,4,3,5,12,10,10,11,19
370,1,1,3,2,2,5,3,4,1,1,4,2,8,8,9,19
371,2,2,1,1,0,4,3,5,2,4,5,2,10,10,10,18
372,2,2,1,2,0,4,2,2,1,1,3,4,14,13,13,17
373,2,2,1,3,0,3,3,2,2,2,3,0,11,11,10,17
374,3,1,1,3,0,3,4,3,2,3,5,0,17,18,17,17
375,0,2,2,3,0,3,3,3,2,3,2,0,14,14,15,17
376,1,1,2,3,0,4,5,5,1,2,2,0,14,14,14,18
377,4,4,1,3,0,4,3,3,2,2,3,0,13,14,13,18
378,3,3,1,1,0,4,3,5,3,5,5,0,17,18,17,17
379,2,2,4,1,0,4,4,5,5,5,4,2,11,10,10,17
380,4,4,1,3,0,5,4,4,1,3,4,0,13,12,13,17
381,4,4,2,3,0,4,3,3,1,2,4,4,15,14,15,17
382,3,3,1,1,0,4,2,5,2,5,5,2,11,12,11,17
383,2,2,1,4,0,4,5,5,2,4,5,0,11,11,12,18
384,3,2,1,1,0,5,3,4,2,2,5,0,11,10,10,19
385,2,2,4,2,0,4,2,5,1,1,2,2,10,9,10,18
386,2,4,1,3,0,4,4,3,1,1,5,0,15,15,15,17
387,2,2,1,1,0,5,4,2,1,2,5,6,15,14,15,18
388,3,3,1,2,0,5,3,4,1,1,4,8,10,11,12,18
389,2,2,1,2,0,4,3,3,1,1,2,0,10,9,12,18
390,2,2,2,4,0,4,4,4,1,1,4,6,14,13,14,18
391,3,4,1,3,0,4,4,5,1,3,5,8,11,13,14,17
392,3,2,1,2,0,4,3,2,2,3,2,0,12,13,15,17
393,3,3,1,4,0,5,3,3,1,1,1,4,14,14,15,18
394,3,2,1,2,0,4,3,3,2,3,2,0,14,14,16,17
395,4,4,1,2,0,4,3,3,2,2,2,0,12,12,13,18
396,3,4,1,2,0,4,3,3,1,3,5,6,16,16,17,18
397,2,2,1,2,0,3,3,1,1,2,4,18,10,12,14,17
398,2,3,1,3,0,4,3,3,1,2,3,0,11,12,14,18
399,3,2,1,3,0,5,4,3,2,3,1,4,14,16,17,18
400,4,3,1,3,0,5,3,2,1,2,4,4,15,14,17,18
401,4,3,1,3,0,5,4,5,2,3,5,0,14,13,14,18
402,4,3,1,3,0,4,4,3,1,3,4,0,11,12,13,17
403,2,1,2,2,0,4,3,4,2,2,1,10,12,15,15,17
404,2,1,1,2,0,4,3,5,2,4,4,4,12,16,16,17
405,2,3,2,1,1,2,2,3,3,4,5,16,10,11,11,19
406,3,1,1,1,1,4,1,2,1,1,3,6,10,13,13,17
407,4,4,1,3,2,3,3,2,1,1,5,0,9,12,12,21
